team,player,status
"Hong Kong China","Pierce MacKinlay-West","no_image"
"Hong Kong China","Tyler McNutt","no_image"
"Hong Kong China","James Sawyer","no_image"
"Hong Kong China","Brendon Nell","no_image"
"Hong Kong China","Chui Wai Lap Eric","no_image"
"Hong Kong China","Gregor McNeish","no_image"
"Hong Kong China","Jack Abbott","no_image"
"Hong Kong China","Benjamin Axten-Burrett","no_image"
"Hong Kong China","Thomas Hill","no_image"
"Hong Kong China","Guy Spanton","no_image"
"Hong Kong China","Murray Brechin","no_image"
"Hong Kong China","Charlie Higson-Smith","no_image"
"Hong Kong China","Dylan McCann","no_image"
"Hong Kong China","Elliott Quinton","no_image"
"Hong Kong China","Marcus Ramage","no_image"
"Hong Kong China","Penetana Smith","no_image"
"Hong Kong China","Matt Worley","no_image"
"Namibia","Armand Combrinck","no_image"
"Namibia","Otja Auala","no_image"
"Namibia","Gianluca Savoldelli","no_image"
"Namibia","Haitembu Shikufa","no_image"
"Namibia","Tiaan de Klerk","no_image"
"Namibia","Max Katjijeko","no_image"
"Namibia","Adriaan Ludick","no_image"
"Namibia","Johan Retief","no_image"
"Namibia","Adriaan Booysen","no_image"
"Namibia","Wian Conradie","no_image"
"Namibia","Prince ǃGaoseb","no_image"
"Namibia","Riaan Grové","no_image"
"Namibia","Johan Luttig","no_image"
"Namibia","AJ Kearns","no_image"
"Namibia","TC Kisting","no_image"
"Namibia","Jacques Theron","no_image"
"Namibia","Cliven Loubser","no_image"
"Namibia","André van den Berg","no_image"
"Namibia","Danco Burger","no_image"
"Namibia","Divan Rossouw","no_image"
"Namibia","J. C. Greyling","no_image"
"Namibia","Jürgen Meyer","no_image"
"Namibia","Jay-Cee Nel","no_image"
"Namibia","Danie van der Merwe","no_image"
"Namibia","Aston Mukwiilongo","no_image"
"Spain","Álvaro García","no_image"
"Spain","Santiago Ovejero","no_image"
"Spain","Joaquín Domínguez","no_image"
"Spain","Raúl Calzón","no_image"
"Spain","Thierry Futeu","no_image"
"Spain","Hugo Pirlet","no_image"
"Spain","Lucas Santamaría","no_image"
"Spain","Bernardo Vasquez","no_image"
"Spain","Matthew Foulds","no_image"
"Spain","Pablo Guirao","no_image"
"Spain","Ignacio Piñeiro","no_image"
"Spain","Antonio Suárez","no_image"
"Spain","Imanol Urraza","no_image"
"Spain","Manex Ariceta","no_image"
"Spain","Vicente Boronat","no_image"
"Spain","Ekain Imaz","no_image"
"Spain","Raphaël Nieto","no_image"
"Spain","Mario Pichardie","no_image"
"Spain","Alex Saleta","no_image"
"Spain","Matheo Triki","no_image"
"Spain","Kerman Aurrekoetxea","no_image"
"Spain","Estanislao Bay","no_image"
"Spain","Nicolás Infer","no_image"
"Spain","Gonzalo López-Bontempo","no_image"
"Spain","Lucien Richardis","no_image"
"Spain","Gonzalo Vinuesa","no_image"
"Spain","Yago Fernández","no_image"
"Spain","Iñaki Mateu","no_image"
"Spain","Pau Aira","no_image"
"Spain","Martiniano Cian","no_image"
"Spain","Egoitz García","no_image"
"Spain","Alejandro Laforga","no_image"
"Spain","J. W. Bell","no_image"
"Spain","Alberto Carmona","no_image"
"Spain","Beltrán Ortega","no_image"
"Zimbabwe","Liam Larkan","no_image"
"Zimbabwe","Matthew Mandioma","no_image"
"Zimbabwe","Bryan Chiang","no_image"
"Zimbabwe","Bornwell Gwinji","no_image"
"Zimbabwe","Cleopas Kundiona","no_image"
"Zimbabwe","Victor Mupunga","no_image"
"Zimbabwe","Brian Makamure","no_image"
"Zimbabwe","Tyran Fagan","no_image"
"Zimbabwe","Zvikomborero Chimoto","no_image"
"Zimbabwe","Kudakwashe Nyakufaringwa","no_image"
"Zimbabwe","Simba Siraha","no_image"
"Zimbabwe","Tadiwanashe Gwashu","no_image"
"Zimbabwe","Brian Nyaude","no_wiki_page"
"Zimbabwe","Godfrey Muzanargwo","no_image"
"Zimbabwe","Aiden Burnett","no_image"
"Zimbabwe","Jason Fraser","no_image"
"Zimbabwe","Dylan Utete","no_image"
"Zimbabwe","Tinotenda Mavesere","no_image"
"Zimbabwe","Keegan Joubert","no_image"
"Zimbabwe","Hilton Mudariki","no_image"
"Zimbabwe","Ian Prior","no_image"
"Zimbabwe","Lenience Tambwera","no_image"
"Zimbabwe","Bruce Houston","no_image"
"Zimbabwe","Brandon Mudzekenyedzi","no_image"
"Zimbabwe","Kudzai Mashawi","no_image"
"Zimbabwe","Dion Khumalo","no_image"
"Zimbabwe","Matthew McNab","no_image"
"Zimbabwe","Edward Sigauke","no_image"
"Zimbabwe","Trevor Gurwe","no_image"
"Zimbabwe","Takudzwa Musingwini","no_image"
"Zimbabwe","Tapiwa Mafura","no_image"
"Italy","Samuele Locatelli","no_image"
"Fiji","Kavaia Tagivetaua","no_image"
"Fiji","Zuriel Togiatama","no_image"
"Fiji","Haereiti Hetet","no_image"
"Fiji","Tim Hoyt","no_image"
"Fiji","Eroni Mawi","no_image"
"Fiji","Atunaisa Sokobale","no_image"
"Fiji","Samu Tawake","no_image"
"Fiji","Temo Mayanavanua","no_image"
"Fiji","Setariki Turagacoke","no_wiki_page"
"Fiji","Mesake Vocevoce","no_image"
"Fiji","Elia Canakaivata","no_image"
"Fiji","Motikai Murray","no_image"
"Fiji","Kitione Salawa Jr.","no_image"
"Fiji","Pita Gus Sowakula","no_image"
"Fiji","Lekima Tagitagivalu","no_image"
"Fiji","Simione Kuruvoli","no_image"
"Fiji","Sam Wye","no_image"
"Fiji","Isaiah Armstrong-Ravula","no_image"
"Fiji","Caleb Muntz","no_image"
"Fiji","Vilimoni Botitu","no_image"
"Fiji","Sireli Maqala","no_image"
"Fiji","Ponepati Loganimasi","no_image"
"Fiji","Joji Nasova","no_image"
"Fiji","Kalaveti Ravouvou","no_image"
"Fiji","Salesi Rayasi","no_image"
"Portugal","Luka Begic","no_image"
"Portugal","Maixent da Costa","no_image"
"Portugal","Luis Lopes","no_image"
"Portugal","Nuno Mascarenhas","no_wiki_page"
"Portugal","Pedro Santiago Lopes","no_wiki_page"
"Portugal","Diego Pinheiro Ruiz","no_wiki_page"
"Portugal","Pedro Vicente","no_image"
"Portugal","Anthony Alves","no_image"
"Portugal","Abel da Cunha","no_image"
"Portugal","José Lavos","no_image"
"Portugal","António Prim","no_image"
"Portugal","Martim Souto","no_image"
"Portugal","Martim Belo","no_image"
"Portugal","Guilherme Costa","no_wiki_page"
"Portugal","Pedro Ferreira","no_wiki_page"
"Portugal","José Madeira","no_wiki_page"
"Portugal","Duarte Nunes","no_image"
"Portugal","Duarte Torgal","no_image"
"Portugal","Francisco Almeida","no_image"
"Portugal","Vasco Baptista","no_image"
"Portugal","André da Cunha","no_image"
"Portugal","Sabata Mokhachane","no_image"
"Portugal","David Wallis","no_image"
"Portugal","Tomas Amado","no_image"
"Portugal","Hugo Camacho","no_wiki_page"
"Portugal","António Campos","no_wiki_page"
"Portugal","Pedro Lucas","no_wiki_page"
"Portugal","Hugo Aubry","no_image"
"Portugal","Tomas Marques","no_image"
"Portugal","Martim Faro","no_image"
"Portugal","Guilherme Vasconcelos","no_image"
"Portugal","Vincent Pinto","no_image"
"Portugal","Alfredo Almeida","no_wiki_page"
"Portugal","Simão Bento","no_wiki_page"
"Portugal","Nuno Sousa Guedes","no_wiki_page"
"Portugal","Manuel Cardoso Pinto","no_wiki_page"
"Portugal","Manuel Vareiro","no_image"
"USA","Kaleb Geiger","no_image"
"USA","Sean McNulty","no_image"
"USA","Jack Iscaro","no_image"
"USA","Tonga Kofe","no_image"
